X,Y,UX,UY,LOAD,BOUNDARY
0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+00
5.000000000000000278e-02,0.000000000000000000e+00,-1.424742256536660080e-03,-6.937166870892139039e-04,0.000000000000000000e+00,0.000000000000000000e+00
1.000000000000000056e-01,0.000000000000000000e+00,-2.820018061928444668e-03,-1.777492772814155209e-03,0.000000000000000000e+00,0.000000000000000000e+00
1.499999999999999944e-01,0.000000000000000000e+00,-4.245948221434072724e-03,-3.537862342803747319e-03,0.000000000000000000e+00,0.000000000000000000e+00
2.000000000000000111e-01,0.000000000000000000e+00,-5.689222208634641537e-03,-6.015060293038495404e-03,0.000000000000000000e+00,0.000000000000000000e+00
2.500000000000000000e-01,0.000000000000000000e+00,-7.140093877453851899e-03,-9.218206680416795445e-03,0.000000000000000000e+00,0.000000000000000000e+00
2.999999999999999889e-01,0.000000000000000000e+00,-8.593875365255014553e-03,-1.314914949249642792e-02,0.000000000000000000e+00,0.000000000000000000e+00
3.499999999999999778e-01,0.000000000000000000e+00,-1.004863144933917408e-02,-1.780799462761028726e-02,0.000000000000000000e+00,0.000000000000000000e+00
4.000000000000000222e-01,0.000000000000000000e+00,-1.150366114966168418e-02,-2.319454733714081118e-02,0.000000000000000000e+00,0.000000000000000000e+00
4.500000000000000111e-01,0.000000000000000000e+00,-1.295877193273755473e-02,-2.930861668430597561e-02,0.000000000000000000e+00,0.000000000000000000e+00
5.000000000000000000e-01,0.000000000000000000e+00,-1.441402051442749674e-02,-3.615004180778425696e-02,0.000000000000000000e+00,0.000000000000000000e+00
5.500000000000000444e-01,0.000000000000000000e+00,-1.586973066129716142e-02,-4.371874379351944201e-02,0.000000000000000000e+00,0.000000000000000000e+00
5.999999999999999778e-01,0.000000000000000000e+00,-1.732673299586068652e-02,-5.201505379863639172e-02,0.000000000000000000e+00,0.000000000000000000e+00
6.500000000000000222e-01,0.000000000000000000e+00,-1.878679331871572697e-02,-6.104080611208151375e-02,0.000000000000000000e+00,0.000000000000000000e+00
6.999999999999999556e-01,0.000000000000000000e+00,-2.025289274098918124e-02,-7.080213366435682276e-02,0.000000000000000000e+00,0.000000000000000000e+00
7.500000000000000000e-01,0.000000000000000000e+00,-2.172770730826839233e-02,-8.131493499702727168e-02,0.000000000000000000e+00,0.000000000000000000e+00
8.000000000000000444e-01,0.000000000000000000e+00,-2.320412870226067417e-02,-9.260957802146133067e-02,0.000000000000000000e+00,0.000000000000000000e+00
8.499999999999999778e-01,0.000000000000000000e+00,-2.463656590876298416e-02,-1.047170626537481247e-01,0.000000000000000000e+00,0.000000000000000000e+00
9.000000000000000222e-01,0.000000000000000000e+00,-2.589950826004372431e-02,-1.176106507125465883e-01,0.000000000000000000e+00,0.000000000000000000e+00
9.499999999999999556e-01,0.000000000000000000e+00,-2.679718480230363492e-02,-1.311187379118256280e-01,0.000000000000000000e+00,0.000000000000000000e+00
1.000000000000000000e+00,0.000000000000000000e+00,-2.702287444556771348e-02,-1.453143766984496266e-01,0.000000000000000000e+00,0.000000000000000000e+00
0.000000000000000000e+00,4.000000000000000083e-02,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+00
5.000000000000000278e-02,4.000000000000000083e-02,-7.608506460310867888e-04,-3.181988782563300255e-04,0.000000000000000000e+00,0.000000000000000000e+00
1.000000000000000056e-01,4.000000000000000083e-02,-1.653608937617465210e-03,-1.387871890643443268e-03,0.000000000000000000e+00,0.000000000000000000e+00
1.499999999999999944e-01,4.000000000000000083e-02,-2.533978690817449350e-03,-3.142659446050698451e-03,0.000000000000000000e+00,0.000000000000000000e+00
2.000000000000000111e-01,4.000000000000000083e-02,-3.409555246951524645e-03,-5.617374831794000496e-03,0.000000000000000000e+00,0.000000000000000000e+00
2.500000000000000000e-01,4.000000000000000083e-02,-4.283535136628655211e-03,-8.819541042397318481e-03,0.000000000000000000e+00,0.000000000000000000e+00
2.999999999999999889e-01,4.000000000000000083e-02,-5.156959607621355163e-03,-1.275014791825918384e-02,0.000000000000000000e+00,0.000000000000000000e+00
3.499999999999999778e-01,4.000000000000000083e-02,-6.030169915033714752e-03,-1.740890208429235128e-02,0.000000000000000000e+00,0.000000000000000000e+00
4.000000000000000222e-01,4.000000000000000083e-02,-6.903285622511691824e-03,-2.279545074008362815e-02,0.000000000000000000e+00,0.000000000000000000e+00
4.500000000000000111e-01,4.000000000000000083e-02,-7.776344881205587804e-03,-2.890955597903674748e-02,0.000000000000000000e+00,0.000000000000000000e+00
5.000000000000000000e-01,4.000000000000000083e-02,-8.649336464058165683e-03,-3.575105603134186294e-02,0.000000000000000000e+00,0.000000000000000000e+00
5.500000000000000444e-01,4.000000000000000083e-02,-9.522192995418227515e-03,-4.331987427075970759e-02,0.000000000000000000e+00,0.000000000000000000e+00
5.999999999999999778e-01,4.000000000000000083e-02,-1.039477660457873744e-02,-5.161626989519763065e-02,0.000000000000000000e+00,0.000000000000000000e+00
6.500000000000000222e-01,4.000000000000000083e-02,-1.126692145635335186e-02,-6.064172872561339467e-02,0.000000000000000000e+00,0.000000000000000000e+00
6.999999999999999556e-01,4.000000000000000083e-02,-1.213871180776246450e-02,-7.040133240261430003e-02,0.000000000000000000e+00,0.000000000000000000e+00
7.500000000000000000e-01,4.000000000000000083e-02,-1.301131078768250245e-02,-8.090890215212671877e-02,0.000000000000000000e+00,0.000000000000000000e+00
8.000000000000000444e-01,4.000000000000000083e-02,-1.388791622069936171e-02,-9.219516430838627097e-02,0.000000000000000000e+00,0.000000000000000000e+00
8.499999999999999778e-01,4.000000000000000083e-02,-1.476537694815484303e-02,-1.043072726495347935e-01,0.000000000000000000e+00,0.000000000000000000e+00
9.000000000000000222e-01,4.000000000000000083e-02,-1.559380348302870541e-02,-1.172614548303554938e-01,0.000000000000000000e+00,0.000000000000000000e+00
9.499999999999999556e-01,4.000000000000000083e-02,-1.622065455187929328e-02,-1.309236744095218508e-01,0.000000000000000000e+00,0.000000000000000000e+00
1.000000000000000000e+00,4.000000000000000083e-02,-1.623503023394171074e-02,-1.453669783790843828e-01,0.000000000000000000e+00,0.000000000000000000e+00
0.000000000000000000e+00,8.000000000000000167e-02,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+00
5.000000000000000278e-02,8.000000000000000167e-02,-2.318359035377879696e-04,-1.654759196345495259e-04,0.000000000000000000e+00,0.000000000000000000e+00
1.000000000000000056e-01,8.000000000000000167e-02,-5.277603840471767121e-04,-1.180316746798419376e-03,0.000000000000000000e+00,0.000000000000000000e+00
1.499999999999999944e-01,8.000000000000000167e-02,-8.349442593797690810e-04,-2.936397130788335769e-03,0.000000000000000000e+00,0.000000000000000000e+00
2.000000000000000111e-01,8.000000000000000167e-02,-1.134035375187020809e-03,-5.414496193362668304e-03,0.000000000000000000e+00,0.000000000000000000e+00
2.500000000000000000e-01,8.000000000000000167e-02,-1.428320288174149974e-03,-8.618574411402372612e-03,0.000000000000000000e+00,0.000000000000000000e+00
2.999999999999999889e-01,8.000000000000000167e-02,-1.720487987957598037e-03,-1.255006170952165968e-02,0.000000000000000000e+00,0.000000000000000000e+00
