X,Y,UX,UY,BOUNDARY,FORCE
0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+00,0.000000000000000000e+00
1.503759398496240518e-02,0.000000000000000000e+00,-1.676084098264610939e-02,-1.632139506616646710e-02,0.000000000000000000e+00,0.000000000000000000e+00
3.007518796992481036e-02,0.000000000000000000e+00,-2.910546896394338237e-02,-2.776087772019458083e-02,0.000000000000000000e+00,0.000000000000000000e+00
4.511278195488721554e-02,0.000000000000000000e+00,-3.947190823513804098e-02,-3.813801373666798888e-02,0.000000000000000000e+00,0.000000000000000000e+00
6.015037593984962072e-02,0.000000000000000000e+00,-4.862351824122790322e-02,-4.805896608063604802e-02,0.000000000000000000e+00,0.000000000000000000e+00
7.518796992481202590e-02,0.000000000000000000e+00,-5.691223249234174386e-02,-5.773668104221891390e-02,0.000000000000000000e+00,0.000000000000000000e+00
9.022556390977443108e-02,0.000000000000000000e+00,-6.452890220723159209e-02,-6.727668817896803599e-02,0.000000000000000000e+00,0.000000000000000000e+00
1.052631578947368363e-01,0.000000000000000000e+00,-7.158868240817628514e-02,-7.673861991818052564e-02,0.000000000000000000e+00,0.000000000000000000e+00
1.203007518796992414e-01,0.000000000000000000e+00,-7.816715248720305931e-02,-8.615790215154603415e-02,0.000000000000000000e+00,0.000000000000000000e+00
1.353383458646616466e-01,0.000000000000000000e+00,-8.431742593951559173e-02,-9.555580116422782155e-02,0.000000000000000000e+00,0.000000000000000000e+00
1.503759398496240518e-01,0.000000000000000000e+00,-9.007893946011204245e-02,-1.049447950853627520e-01,0.000000000000000000e+00,0.000000000000000000e+00
1.654135338345864570e-01,0.000000000000000000e+00,-9.548229059818934272e-02,-1.143316828139963603e-01,0.000000000000000000e+00,0.000000000000000000e+00
1.804511278195488622e-01,0.000000000000000000e+00,-1.005520726105258028e-01,-1.237194764768750344e-01,0.000000000000000000e+00,0.000000000000000000e+00
1.954887218045112673e-01,0.000000000000000000e+00,-1.053086331281632426e-01,-1.331085977591612846e-01,0.000000000000000000e+00,0.000000000000000000e+00
2.105263157894736725e-01,0.000000000000000000e+00,-1.097692219728605562e-01,-1.424976590010699762e-01,0.000000000000000000e+00,0.000000000000000000e+00
2.255639097744360777e-01,0.000000000000000000e+00,-1.139487739182458298e-01,-1.518839886971098396e-01,0.000000000000000000e+00,0.000000000000000000e+00
2.406015037593984829e-01,0.000000000000000000e+00,-1.178604626384848475e-01,-1.612639954624586480e-01,0.000000000000000000e+00,0.000000000000000000e+00
2.556390977443608881e-01,0.000000000000000000e+00,-1.215161049088599593e-01,-1.706334274948332619e-01,0.000000000000000000e+00,0.000000000000000000e+00
2.706766917293232932e-01,0.000000000000000000e+00,-1.249264629509774654e-01,-1.799875629565525770e-01,0.000000000000000000e+00,0.000000000000000000e+00
2.857142857142856984e-01,0.000000000000000000e+00,-1.281014750928203272e-01,-1.893213537596327989e-01,0.000000000000000000e+00,0.000000000000000000e+00
3.007518796992481036e-01,0.000000000000000000e+00,-1.310504344300325863e-01,-1.986295372975025730e-01,0.000000000000000000e+00,0.000000000000000000e+00
3.157894736842105088e-01,0.000000000000000000e+00,-1.337821287422265026e-01,-2.079067256883022352e-01,0.000000000000000000e+00,0.000000000000000000e+00
3.308270676691729140e-01,0.000000000000000000e+00,-1.363049508394690024e-01,-2.171474789078696177e-01,0.000000000000000000e+00,0.000000000000000000e+00
3.458646616541353191e-01,0.000000000000000000e+00,-1.386269858521756715e-01,-2.263463661113828129e-01,0.000000000000000000e+00,0.000000000000000000e+00
3.609022556390977243e-01,0.000000000000000000e+00,-1.407560801962512709e-01,-2.354980180625751152e-01,0.000000000000000000e+00,0.000000000000000000e+00
3.759398496240601295e-01,0.000000000000000000e+00,-1.426998957272736512e-01,-2.445971726595090601e-01,0.000000000000000000e+00,0.000000000000000000e+00
3.909774436090225347e-01,0.000000000000000000e+00,-1.444659517492078715e-01,-2.536387149114725514e-01,0.000000000000000000e+00,0.000000000000000000e+00
4.060150375939849399e-01,0.000000000000000000e+00,-1.460616569429216971e-01,-2.626177122848341594e-01,0.000000000000000000e+00,0.000000000000000000e+00
4.210526315789473450e-01,0.000000000000000000e+00,-1.474943328492056005e-01,-2.715294460336337701e-01,0.000000000000000000e+00,0.000000000000000000e+00
4.360902255639097502e-01,0.000000000000000000e+00,-1.487712302282921395e-01,-2.803694389219558714e-01,0.000000000000000000e+00,0.000000000000000000e+00
4.511278195488721554e-01,0.000000000000000000e+00,-1.498995393880671323e-01,-2.891334796021402531e-01,0.000000000000000000e+00,0.000000000000000000e+00
4.661654135338345606e-01,0.000000000000000000e+00,-1.508863954022507115e-01,-2.978176438168985141e-01,0.000000000000000000e+00,0.000000000000000000e+00
4.812030075187969658e-01,0.000000000000000000e+00,-1.517388790109673036e-01,-3.064183125314159928e-01,0.000000000000000000e+00,0.000000000000000000e+00
4.962406015037593709e-01,0.000000000000000000e+00,-1.524640138973934189e-01,-3.149321870643978505e-01,0.000000000000000000e+00,0.000000000000000000e+00
5.112781954887217761e-01,0.000000000000000000e+00,-1.530687609569567897e-01,-3.233563012681611171e-01,0.000000000000000000e+00,0.000000000000000000e+00
5.263157894736841813e-01,0.000000000000000000e+00,-1.535600101136160855e-01,-3.316880308024268142e-01,0.000000000000000000e+00,0.000000000000000000e+00
5.413533834586465865e-01,0.000000000000000000e+00,-1.539445701864960436e-01,-3.399250995507420159e-01,0.000000000000000000e+00,0.000000000000000000e+00
5.563909774436089917e-01,0.000000000000000000e+00,-1.542291572662389532e-01,-3.480655832396822302e-01,0.000000000000000000e+00,0.000000000000000000e+00
5.714285714285713969e-01,0.000000000000000000e+00,-1.544203820213960188e-01,-3.561079103368627319e-01,0.000000000000000000e+00,0.000000000000000000e+00
5.864661654135338020e-01,0.000000000000000000e+00,-1.545247363192585044e-01,-3.640508603225627304e-01,0.000000000000000000e+00,0.000000000000000000e+00
6.015037593984962072e-01,0.000000000000000000e+00,-1.545485795114729111e-01,-3.718935594499580555e-01,0.000000000000000000e+00,0.000000000000000000e+00
6.165413533834586124e-01,0.000000000000000000e+00,-1.544981247017423454e-01,-3.796354741293627710e-01,0.000000000000000000e+00,0.000000000000000000e+00
6.315789473684210176e-01,0.000000000000000000e+00,-1.543794252803847855e-01,-3.872764020914977734e-01,0.000000000000000000e+00,0.000000000000000000e+00
6.466165413533834228e-01,0.000000000000000000e+00,-1.541983619782038295e-01,-3.948164615028335045e-01,0.000000000000000000e+00,0.000000000000000000e+00
6.616541353383458279e-01,0.000000000000000000e+00,-1.539606306599635432e-01,-4.022560782218543296e-01,0.000000000000000000e+00,0.000000000000000000e+00
6.766917293233082331e-01,0.000000000000000000e+00,-1.536717310458038943e-01,-4.095959713981616179e-01,0.000000000000000000e+00,0.000000000000000000e+00
6.917293233082706383e-01,0.000000000000000000e+00,-1.533369565173644533e-01,-4.168371376263409478e-01,0.000000000000000000e+00,0.000000000000000000e+00
7.067669172932330435e-01,0.000000000000000000e+00,-1.529613851344509279e-01,-4.239808338732269921e-01,0.000000000000000000e+00,0.000000000000000000e+00
7.218045112781954487e-01,0.000000000000000000e+00,-1.525498719580692664e-01,-4.310285594005422993e-01,0.000000000000000000e+00,0.000000000000000000e+00
