X,Y,UX,UY
0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
4.000000000000000000e+00,0.000000000000000000e+00,-7.561090049894003337e-03,-8.765256842469522011e-03
8.000000000000000000e+00,0.000000000000000000e+00,-1.244961819136735509e-02,-1.601021309953904945e-02
1.200000000000000000e+01,0.000000000000000000e+00,-1.581414234673224686e-02,-2.302883355618541225e-02
1.600000000000000000e+01,0.000000000000000000e+00,-1.808337924894226276e-02,-2.982992283016954252e-02
2.000000000000000000e+01,0.000000000000000000e+00,-1.950935344151645545e-02,-3.633514542914251938e-02
2.400000000000000000e+01,0.000000000000000000e+00,-2.027143472027857080e-02,-4.247374302058321005e-02
2.800000000000000000e+01,0.000000000000000000e+00,-2.051194563174666211e-02,-4.819407269858600601e-02
3.200000000000000000e+01,0.000000000000000000e+00,-2.035080088027194090e-02,-5.346468841165426256e-02
3.600000000000000000e+01,0.000000000000000000e+00,-1.989161982018220962e-02,-5.827329608424724333e-02
4.000000000000000000e+01,0.000000000000000000e+00,-1.922410858377455664e-02,-6.262468259480480359e-02
4.400000000000000000e+01,0.000000000000000000e+00,-1.842496548848561802e-02,-6.653791043793000348e-02
4.800000000000000000e+01,0.000000000000000000e+00,-1.755841755275418942e-02,-7.004312912278314041e-02
5.200000000000000000e+01,0.000000000000000000e+00,-1.667687207633544721e-02,-7.317839158964793700e-02
5.600000000000000000e+01,0.000000000000000000e+00,-1.582181618447993723e-02,-7.598678760341959215e-02
6.000000000000000000e+01,0.000000000000000000e+00,-1.502491796276273460e-02,-7.851407709503763210e-02
6.400000000000000000e+01,0.000000000000000000e+00,-1.430921090048557602e-02,-8.080688207838393478e-02
6.800000000000000000e+01,0.000000000000000000e+00,-1.369023115715938162e-02,-8.291140127197693666e-02
7.200000000000000000e+01,0.000000000000000000e+00,-1.317699191392205857e-02,-8.487254747709081781e-02
7.600000000000000000e+01,0.000000000000000000e+00,-1.277270151943192891e-02,-8.673336161031770797e-02
8.000000000000000000e+01,0.000000000000000000e+00,-1.247515422676339671e-02,-8.853450970221106442e-02
8.400000000000000000e+01,0.000000000000000000e+00,-1.227674610959986028e-02,-9.031359313540972267e-02
8.800000000000000000e+01,0.000000000000000000e+00,-1.216410978378143666e-02,-9.210385431638436204e-02
9.200000000000000000e+01,0.000000000000000000e+00,-1.211746427572647777e-02,-9.393156139143211958e-02
9.600000000000000000e+01,0.000000000000000000e+00,-1.211009488006796475e-02,-9.581082464641782481e-02
1.000000000000000000e+02,0.000000000000000000e+00,-1.211028513163003341e-02,-9.773544471568386405e-02
0.000000000000000000e+00,4.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
4.000000000000000000e+00,4.000000000000000000e+00,-3.643473386202618867e-03,-6.708461278490986980e-03
8.000000000000000000e+00,4.000000000000000000e+00,-7.429378426155452443e-03,-1.442501229848692015e-02
1.200000000000000000e+01,4.000000000000000000e+00,-1.037116776653262268e-02,-2.188799946236830510e-02
1.600000000000000000e+01,4.000000000000000000e+00,-1.254149596995052414e-02,-2.904898666267678384e-02
2.000000000000000000e+01,4.000000000000000000e+00,-1.405531144463836174e-02,-3.584575892915044942e-02
2.400000000000000000e+01,4.000000000000000000e+00,-1.502149164358940019e-02,-4.221951212126506120e-02
2.800000000000000000e+01,4.000000000000000000e+00,-1.553960092438529117e-02,-4.812642386705341668e-02
3.200000000000000000e+01,4.000000000000000000e+00,-1.570013879117963113e-02,-5.354085511770224209e-02
3.600000000000000000e+01,4.000000000000000000e+00,-1.558468965728432819e-02,-5.845555393936559957e-02
4.000000000000000000e+01,4.000000000000000000e+00,-1.526576026925793340e-02,-6.288014915382632297e-02
4.400000000000000000e+01,4.000000000000000000e+00,-1.480656687469956469e-02,-6.683849450952547566e-02
4.800000000000000000e+01,4.000000000000000000e+00,-1.426100182042188379e-02,-7.036542025083558638e-02
5.200000000000000000e+01,4.000000000000000000e+00,-1.367387971994173806e-02,-7.350341939984128548e-02
5.600000000000000000e+01,4.000000000000000000e+00,-1.308145336174661166e-02,-7.629966048808478618e-02
6.000000000000000000e+01,4.000000000000000000e+00,-1.251212613997193177e-02,-7.880354529753992587e-02
6.400000000000000000e+01,4.000000000000000000e+00,-1.198726508439364700e-02,-8.106487832591706411e-02
6.800000000000000000e+01,4.000000000000000000e+00,-1.152202224723801287e-02,-8.313260625507651325e-02
7.200000000000000000e+01,4.000000000000000000e+00,-1.112608963865165460e-02,-8.505401672852029582e-02
7.600000000000000000e+01,4.000000000000000000e+00,-1.080433595155025697e-02,-8.687424015838109137e-02
8.000000000000000000e+01,4.000000000000000000e+00,-1.055729775313278725e-02,-8.863585547198142567e-02
8.400000000000000000e+01,4.000000000000000000e+00,-1.038152058998929698e-02,-9.037833662834071635e-02
8.800000000000000000e+01,4.000000000000000000e+00,-1.026975805064280628e-02,-9.213695987145133215e-02
9.200000000000000000e+01,4.000000000000000000e+00,-1.021100773109515428e-02,-9.394057388573216760e-02
9.600000000000000000e+01,4.000000000000000000e+00,-1.019018982164935326e-02,-9.580722768705453307e-02
1.000000000000000000e+02,4.000000000000000000e+00,-1.018661632017435655e-02,-9.773563496724592403e-02
0.000000000000000000e+00,8.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
4.000000000000000000e+00,8.000000000000000000e+00,-2.314307569738814109e-03,-6.275139669199560240e-03
8.000000000000000000e+00,8.000000000000000000e+00,-4.665630407055175628e-03,-1.357891694489136818e-02
1.200000000000000000e+01,8.000000000000000000e+00,-6.843398680966095680e-03,-2.112863990776890286e-02
1.600000000000000000e+01,8.000000000000000000e+00,-8.609932960420434850e-03,-2.847318718862182352e-02
2.000000000000000000e+01,8.000000000000000000e+00,-9.939646339342432524e-03,-3.546004095364602843e-02
2.400000000000000000e+01,8.000000000000000000e+00,-1.086612864710165445e-02,-4.200492173705725613e-02
2.800000000000000000e+01,8.000000000000000000e+00,-1.144261872246066930e-02,-4.805561238884492603e-02
3.200000000000000000e+01,8.000000000000000000e+00,-1.172839802673138546e-02,-5.358437152656315983e-02
3.600000000000000000e+01,8.000000000000000000e+00,-1.178247304987921872e-02,-5.858488135286170351e-02
4.000000000000000000e+01,8.000000000000000000e+00,-1.166009985796267329e-02,-6.306935928542486969e-02
4.400000000000000000e+01,8.000000000000000000e+00,-1.141084249881657055e-02,-6.706508483293331657e-02
4.800000000000000000e+01,8.000000000000000000e+00,-1.107764593024494412e-02,-7.061059431856109292e-02
5.200000000000000000e+01,8.000000000000000000e+00,-1.069660999106995108e-02,-7.375199826675241099e-02
5.600000000000000000e+01,8.000000000000000000e+00,-1.029722374673611163e-02,-7.653977649243944026e-02
6.000000000000000000e+01,8.000000000000000000e+00,-9.902871279201237373e-03,-7.902623207926721960e-02
6.400000000000000000e+01,8.000000000000000000e+00,-9.531468626712898129e-03,-8.126363495484126287e-02
6.800000000000000000e+01,8.000000000000000000e+00,-9.196134794337560911e-03,-8.330298434065749880e-02
7.200000000000000000e+01,8.000000000000000000e+00,-8.905834557205304092e-03,-8.519326027292412062e-02
7.600000000000000000e+01,8.000000000000000000e+00,-8.665955849991184567e-03,-8.698100069923792033e-02
8.000000000000000000e+01,8.000000000000000000e+00,-8.478797857371690727e-03,-8.871001497483123333e-02
8.400000000000000000e+01,8.000000000000000000e+00,-8.343940473147555201e-03,-9.042101274842079262e-02
8.800000000000000000e+01,8.000000000000000000e+00,-8.258421954362563100e-03,-9.215088099952410683e-02
9.200000000000000000e+01,8.000000000000000000e+00,-8.216521626990542018e-03,-9.393128622674554173e-02
9.600000000000000000e+01,8.000000000000000000e+00,-8.208617128606959801e-03,-9.578624598812830737e-02
1.000000000000000000e+02,8.000000000000000000e+00,-8.217766628600312040e-03,-9.772831248736384147e-02
0.000000000000000000e+00,1.200000000000000000e+01,0.000000000000000000e+00,0.000000000000000000e+00
4.000000000000000000e+00,1.200000000000000000e+01,-1.626173650221292245e-03,-6.315555866070235967e-03
8.000000000000000000e+00,1.200000000000000000e+01,-3.157286361553765693e-03,-1.343618648427931557e-02
1.200000000000000000e+01,1.200000000000000000e+01,-4.603458587998761169e-03,-2.088031279011714342e-02
1.600000000000000000e+01,1.200000000000000000e+01,-5.867263656085653853e-03,-2.825931626237298752e-02
2.000000000000000000e+01,1.200000000000000000e+01,-6.873525837777007610e-03,-3.533459350418707151e-02
2.400000000000000000e+01,1.200000000000000000e+01,-7.608931153665101678e-03,-4.197880410531912299e-02
2.800000000000000000e+01,1.200000000000000000e+01,-8.092747518599684858e-03,-4.811981301408983086e-02
3.200000000000000000e+01,1.200000000000000000e+01,-8.359657349893311745e-03,-5.372109460640509676e-02
